n,dofs,source_kind,strength,grid_size_h,grid_cell_area,heat_source_active_points,heat_source_active_area,heat_source_integral,solver,cg_iterations,elapsed_seconds,absolute_residual,relative_residual,matrix_nnz,t_min,t_max,t_mean
16,256,square,100.0,0.058823529411764705,0.0034602076124567475,16,0.05536332179930796,5.536332179930796,direct,,0.0021936249686405063,1.3924742749122915e-12,3.4811856872807287e-15,1216,0.02082541914655127,1.6559629577859423,0.4457712341145884
24,576,square,100.0,0.04,0.0016,16,0.0256,2.56,direct,,0.0007153750630095601,2.9014841683143368e-12,7.253710420785843e-15,2784,0.004466103287858365,0.9231350143634927,0.20161613796052075
32,1024,square,100.0,0.030303030303030304,0.0009182736455463729,36,0.03305785123966942,3.3057851239669427,direct,,0.0014645420014858246,7.936285306018548e-12,1.322714217669758e-14,4992,0.0033158550721638733,1.1278362573560161,0.2541205203096364
48,2304,square,100.0,0.02040816326530612,0.00041649312786339016,100,0.041649312786339016,4.164931278633902,direct,,0.0034039169549942017,3.204243198986113e-11,3.204243198986113e-14,11328,0.0018975458134780237,1.3464423492931097,0.31221763632414407
64,4096,square,100.0,0.015384615384615385,0.0002366863905325444,169,0.04,4.0,direct,,0.006558459019288421,6.491121465996175e-11,4.993170358458596e-14,20224,0.0009950337317980967,1.309152385982347,0.29697286271545
96,9216,square,100.0,0.010309278350515464,0.00010628122010840684,400,0.04251248804336274,4.2512488043362735,direct,,0.0217515000840649,2.646698894452985e-10,1.3233494472264924e-13,45696,0.0004946276018917405,1.3683329894428968,0.3120828486526339
128,16384,square,100.0,0.007751937984496124,6.009254251547383e-05,676,0.04062255874046031,4.062255874046031,direct,,0.06334920797962695,5.395050868844609e-10,2.0750195649402342e-13,81408,0.00026724726824477635,1.322322673764584,0.29699955919417087
