key,value
n,64
dofs,262144
source_kind,gaussian
strength,100.0
grid_size_h,0.015384615384615385
grid_cell_volume,3.6413290851160678e-06
heat_source_active_points,262144
heat_source_active_volume,0.9545525716886665
heat_source_integral,0.3401915748276038
solver,cg
cg_iterations,163
elapsed_seconds,0.6474789169151336
absolute_residual,1.698614569977286e-07
relative_residual,9.346209890948108e-11
matrix_nnz,1810432
t_min,3.781519849765859e-06
t_max,0.31090600875941915
