fd_n,fem_n,h,fd_dofs,fem_dofs,fd_source_integral,fem_source_integral,fd_tmax,fem_tmax,relative_tmax_diff
16,17,0.058823529411764705,256,324,5.536332179930796,5.536332179930795,1.6559629577859412,1.6004413040402878,-0.03352831866474054
32,33,0.030303030303030304,1024,1156,3.3057851239669427,3.3057851239669453,1.127836257356015,1.1127917673423466,-0.013339250193052973
64,65,0.015384615384615385,4096,4356,4.0,4.000000000000014,1.3091523859823484,1.3052150359681207,-0.003007556688118635
