key,value
n,32
dofs,1024
source_kind,square
strength,100.0
grid_size_h,0.030303030303030304
grid_cell_area,0.0009182736455463729
heat_source_active_points,36
heat_source_active_area,0.03305785123966942
heat_source_integral,3.3057851239669427
solver,direct
cg_iterations,
elapsed_seconds,0.001949958001205232
absolute_residual,7.1435500706376504e-12
relative_residual,1.1905916784396083e-14
matrix_nnz,4992
t_min,0.0033158550721638725
t_max,1.127836257356015
